Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SLS01G02981,2012.06,901,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2013.06,810,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2014.06,723,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2015.06,681,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2016.06,791,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2017.06,833,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2018.06,899,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2019.06,917,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2020.06,966,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2021.06,1359,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2022.06,1450,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2023.06,1836,REVISED,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2024.06,2095,REVISED,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02981,2025.06,2148,PROVISIONAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SLS01G02982,2009.06,118,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2010.06,115,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2011.06,130,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2012.06,137,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2013.06,133,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2014.06,124,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2015.06,137,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2016.06,117,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2017.06,127,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2018.06,127,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2019.06,141,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2020.06,145,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2021.06,145,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2022.06,139,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2023.06,177,REVISED,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2024.06,211,REVISED,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02982,2025.06,232,PROVISIONAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SLS01G02991,2009.06,637,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2010.06,652,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2011.06,703,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2012.06,957,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2013.06,1103,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2014.06,699,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2015.06,783,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2016.06,743,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2017.06,677,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2018.06,730,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2019.06,845,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2020.06,1245,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2021.06,1296,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2022.06,1402,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2023.06,1777,REVISED,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2024.06,1941,REVISED,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02991,2025.06,2363,PROVISIONAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SLS01G02992,2009.06,338,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SLS01G02992,2010.06,395,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SLS01G02992,2011.06,241,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SLS01G02992,2012.06,200,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SLS01G02992,2013.06,275,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SLS01G02992,2014.06,349,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SLS01G02992,2015.06,595,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SLS01G02992,2016.06,619,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
