Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SGS01G02143,2010.06,1875,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2011.06,1786,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2012.06,1401,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2013.06,1752,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2014.06,1896,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2015.06,2407,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2016.06,2146,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2017.06,2496,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2018.06,2586,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2019.06,2607,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2020.06,1888,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2021.06,1848,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2022.06,2071,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2023.06,2248,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2024.06,3206,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02143,2025.06,2685,PROVISIONAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Dividend income,,,,,Dollars,6
GFSA.SGS01G02144,2009.06,2254,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2010.06,1876,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2011.06,2203,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2012.06,2254,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2013.06,2260,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2014.06,2617,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2015.06,2756,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2016.06,2578,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
GFSA.SGS01G02144,2017.06,2496,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Interest income,,,,,Dollars,6
