year,nzsioc,nzsioc_descriptor,nzsioc_descriptor2,variable,units,magnitude,source,data_value
2014,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,948.01
2014,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,948008.11
2015,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,886.76
2015,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,886757.61
2016,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,880.16
2016,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,880159.02
2017,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,893.74
2017,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,893737.04
2018,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,931.85
2018,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,931850.83
2019,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1042.71
2019,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1042705.83
2020,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1124.81
2020,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1124807.57
2021,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,843.95
2021,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,843948.58
2022,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,731.13
2022,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,731132
2023,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,716.95
2023,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,716949.52
2024,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,657.7
2024,AA141,"Poultry, deer, and other livestock farming",,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,657697.96
2007,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,384.63
2007,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,384625.34
2008,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,370.16
2008,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,370155.4
2009,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,371.79
2009,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,371794.25
2010,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,391.58
2010,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,391582.8
2011,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,406.24
2011,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,406237.36
2012,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,359.81
2012,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,359808.63
